UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
1,41,4347.6,4378.8,3,0,[],0,0,[],0,0,[],0,NA,0,[],0,3,"['kapolalum', 'niger', 'sickness']",3
1,42,4378.8,4700.5,38,13,"['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 25' 'Armsdealing 26'
 'Armsdealing 52' 'Armsdealing 55' 'Armsdealing 72' 'Armsdealing 84'
 'Armsdealing 95']",186.5,6,['Armsdealing 100'],3,19,"['Armsdealing 100' 'Armsdealing 17' 'Armsdealing 26' 'Armsdealing 30'
 'Armsdealing 52' 'Armsdealing 56' 'Armsdealing 70' 'Armsdealing 84'
 'Armsdealing 95' 'Armsdealing 98']",29.8,Armsdealing 100,0,[],0,0,[],0
1,43,4700.5,4702.7,1,1,['Armsdealing 10'],3.5,0,[],0,0,[],0,NA,0,[],0,0,[],0
1,44,4702.7,4745.3,7,1,['Armsdealing 25'],2.5,0,[],0,4,['Armsdealing 11' 'Armsdealing 25' 'Armsdealing 70'],9.1,NA,0,[],0,2,"['burj', 'tabriz']",2
1,45,4745.3,4759.5,4,1,['Armsdealing 29'],4,0,[],0,3,['Armsdealing 100' 'Armsdealing 24' 'Armsdealing 25'],2.4,NA,0,[],0,0,[],0
1,46,4759.5,4865.7,14,7,['Armsdealing 11' 'Armsdealing 22' 'Armsdealing 29' 'Armsdealing 8'],18.8,0,[],0,5,"['Armsdealing 22' 'Armsdealing 29' 'Armsdealing 8' 'Armsdealing 80'
 'Armsdealing 98']",8,NA,0,[],0,2,"['burj', 'syria']",2
1,47,4865.7,4888.8,2,0,[],0,0,[],0,1,['Armsdealing 22'],2.5,NA,0,[],0,1,['lebanon'],1
1,48,4888.8,5059.4,17,9,"['Armsdealing 20' 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 63'
 'Armsdealing 73' 'Armsdealing 9' 'Armsdealing 96']",105.9,2,['Armsdealing 63'],36.1,2,['Armsdealing 20' 'Armsdealing 63'],1.8,Armsdealing 63,0,[],0,4,"['saudi arabia\\', 'saudi arabia', 'ahmed', 'venezuela']",4
2,1,0,326.9,19,2,['Armsdealing 68' 'Armsdealing 72'],394.2,2,['Armsdealing 68'],53.3,12,"['Armsdealing 101' 'Armsdealing 102' 'Armsdealing 24' 'Armsdealing 26'
 'Armsdealing 68' 'Armsdealing 69' 'Armsdealing 72']",33.3,Armsdealing 68,1,['Nigeria in February of 2009'],1,2,"['arms', 'Nigeria']",2
2,2,326.9,467.1,43,2,['Armsdealing 65' 'Armsdealing 69'],1459.5,35,['Armsdealing 65' 'Armsdealing 72'],88.2,5,['Armsdealing 65' 'Armsdealing 69' 'Armsdealing 72'],4.7,Armsdealing 72,0,[],0,1,['Minsky'],1
